setting,model,benchmark,family,task_type,n_samples,n_degenerate,reconstruct_loader,share_conclusion,share_numeric,share_content,share_function,share_content_plus_numeric,delta_rho_top10,deletion_rd_k4
Llama-3.2-1B-Instruct_arc,Llama-3.2-1B-Instruct,arc,Llama,MC,500,0,False,0.10570739549839228,0.004622186495176849,0.6364549839228296,0.2532154340836013,0.6410771704180065,0.6675612019218788,0.5106582278481013
Llama-3.2-1B-Instruct_commonsense_qa,Llama-3.2-1B-Instruct,commonsense_qa,Llama,MC,500,0,False,0.10874799357945425,0.0,0.5515650080256822,0.33968699839486355,0.5515650080256822,0.5609668684089971,0.5173853006681515
Llama-3.2-1B-Instruct_gsm8k,Llama-3.2-1B-Instruct,gsm8k,Llama,OpenNum,500,0,False,0.11731701096659015,0.49196633511859217,0.3221117061973986,0.06860494771741903,0.8140780413159907,-0.16359795006572775,0.5834543883198794
Llama-3.2-1B-Instruct_math,Llama-3.2-1B-Instruct,math,Llama,OpenNum,500,137,True,0.20438726007171482,0.16220206707445686,0.45876397384518036,0.17464669900864796,0.6209660409196373,0.07737690664435493,
Llama-3.2-1B-Instruct_mmlu,Llama-3.2-1B-Instruct,mmlu,Llama,MC,500,4,True,0.15430696137161742,0.02334228465193142,0.6060731253873167,0.21627762858913446,0.6294154100392482,0.5741881319306686,0.5116808377144588
Llama-3.2-1B-Instruct_mmlu_pro,Llama-3.2-1B-Instruct,mmlu_pro,Llama,MC,500,20,True,0.16125587355830842,0.03609568560444255,0.5997436992738147,0.20290474156343444,0.6358393848782572,0.6643786172611835,0.4298007462094149
Llama-3.2-3B-Instruct_arc,Llama-3.2-3B-Instruct,arc,Llama,MC,500,1,True,0.09788092835519677,0.007870837537840566,0.5541876892028255,0.34006054490413723,0.562058526740666,0.5803395068016581,0.5630622406639003
Llama-3.2-3B-Instruct_commonsense_qa,Llama-3.2-3B-Instruct,commonsense_qa,Llama,MC,500,0,False,0.1054,0.0002,0.5026,0.3918,0.5028,0.49720005347100443,0.5792719836400817
Llama-3.2-3B-Instruct_gsm8k,Llama-3.2-3B-Instruct,gsm8k,Llama,OpenNum,500,0,False,0.13071895424836602,0.4482151835093012,0.36450477626948213,0.05656108597285068,0.8127199597787833,-0.014516171933503186,0.5497740585774058
Llama-3.2-3B-Instruct_math,Llama-3.2-3B-Instruct,math,Llama,OpenNum,500,168,True,0.15928828638000422,0.12010167337428511,0.5333615759373014,0.18724846430840925,0.6534632493115865,0.09732926255894189,
Llama-3.2-3B-Instruct_mmlu,Llama-3.2-3B-Instruct,mmlu,Llama,MC,500,5,True,0.1513837257331681,0.03841387856257745,0.5499793473771168,0.26022304832713755,0.5883932259396943,0.5076680977587451,0.47958854087226466
Llama-3.2-3B-Instruct_mmlu_pro,Llama-3.2-3B-Instruct,mmlu_pro,Llama,MC,500,25,True,0.13427190586257617,0.10065139735238496,0.5278419836100021,0.23723471317503678,0.628493380962387,0.5460469135059995,0.4683260393873085
Mistral-7B-Instruct-v0.3_arc,Mistral-7B-Instruct-v0.3,arc,Mistral,MC,500,500,True,0.004417670682730923,0.010441767068273093,0.6092369477911647,0.3759036144578313,0.6196787148594377,-0.08155484861383672,0.014922927616238764
Mistral-7B-Instruct-v0.3_commonsense_qa,Mistral-7B-Instruct-v0.3,commonsense_qa,Mistral,MC,500,500,True,0.002404809619238477,0.0,0.5723446893787575,0.425250501002004,0.5723446893787575,-0.07594347151946979,0.030839940751067357
Mistral-7B-Instruct-v0.3_gsm8k,Mistral-7B-Instruct-v0.3,gsm8k,Mistral,OpenNum,500,500,True,0.004318618042226488,0.381957773512476,0.3793186180422265,0.23440499040307103,0.7612763915547025,-0.16184272143777506,0.27732059447983015
Mistral-7B-Instruct-v0.3_math,Mistral-7B-Instruct-v0.3,math,Mistral,OpenNum,500,500,True,0.03905036609718216,0.19569558464610606,0.513645440426004,0.2516086088307078,0.70934102507211,-0.14355055217541648,
Mistral-7B-Instruct-v0.3_mmlu,Mistral-7B-Instruct-v0.3,mmlu,Mistral,MC,500,500,True,0.011217282924802658,0.07166597424179477,0.5544245949314499,0.36269214790195264,0.6260905691732447,-0.07182171870322951,0.08722047519217331
Mistral-7B-Instruct-v0.3_mmlu_pro,Mistral-7B-Instruct-v0.3,mmlu_pro,Mistral,MC,500,500,True,0.01192504258943782,0.12734241908006813,0.5334327086882453,0.32729982964224874,0.6607751277683135,0.006049542172515188,0.10815049992892004
Qwen2.5-7B-Instruct_math,Qwen2.5-7B-Instruct,math,Qwen,OpenNum,500,159,True,0.159682899207248,0.11687429218573046,0.5608154020385051,0.16262740656851643,0.6776896942242355,-0.03603161213355602,
gemma-3-1b-it_arc,gemma-3-1b-it,arc,Gemma,MC,500,0,False,0.15998388071730807,0.006447713076768084,0.692323191617973,0.14124521458795083,0.698770904694741,0.22150008844962643,0.06824032586558046
gemma-3-1b-it_commonsense_qa,gemma-3-1b-it,commonsense_qa,Gemma,MC,500,0,False,0.10541195476575121,0.0004038772213247173,0.6114701130856219,0.2827140549273021,0.6118739903069467,0.45205414588223386,0.10472113422997381
gemma-3-1b-it_gsm8k,gemma-3-1b-it,gsm8k,Gemma,OpenNum,500,1,True,0.24056122448979592,0.4375,0.24566326530612245,0.07627551020408163,0.6831632653061225,0.019063234941976703,0.8081589958158996
gemma-3-1b-it_math,gemma-3-1b-it,math,Gemma,OpenNum,500,161,True,0.32479964381121995,0.09283170080142475,0.4102849510240427,0.17208370436331255,0.5031166518254675,0.018229874056860162,
gemma-3-1b-it_mmlu,gemma-3-1b-it,mmlu,Gemma,MC,500,8,True,0.2336889618383258,0.03221173574066475,0.5857611817808781,0.1483381206401313,0.6179729175215428,0.49431819222463824,0.12192146679111719
gemma-3-1b-it_mmlu_pro,gemma-3-1b-it,mmlu_pro,Gemma,MC,500,22,True,0.16610384128324188,0.09624314056563951,0.5878007598142676,0.14985225833685098,0.6840439003799071,0.41953855756894914,0.11644042232277524
gemma-3-4b-it_arc,gemma-3-4b-it,arc,Gemma,MC,500,0,False,0.04452951843642958,0.011283497884344146,0.7620390892605279,0.18214789441869836,0.773322587144872,0.28464400338599494,0.041596707818930045
gemma-3-4b-it_commonsense_qa,gemma-3-4b-it,commonsense_qa,Gemma,MC,500,0,False,0.02909309791332263,0.0,0.6484751203852327,0.3224317817014446,0.6484751203852327,0.3557691894904772,0.05714350048411429
gemma-3-4b-it_gsm8k,gemma-3-4b-it,gsm8k,Gemma,OpenNum,500,0,False,0.22884172845819484,0.43032472513423675,0.2827921247762721,0.058041421631296344,0.7131168499105088,-0.030131053296733157,0.6443792848855606
gemma-3-4b-it_math,gemma-3-4b-it,math,Gemma,OpenNum,500,175,True,0.16807297605473204,0.1669327251995439,0.5115165336374002,0.15347776510832384,0.6784492588369442,0.04188084982523277,
gemma-3-4b-it_mmlu,gemma-3-4b-it,mmlu,Gemma,MC,500,11,True,0.15014397367338544,0.05039078568490333,0.646647470176882,0.15281777046482928,0.6970382558617852,0.3189041883246746,0.18654595884167036
gemma-3-4b-it_mmlu_pro,gemma-3-4b-it,mmlu_pro,Gemma,MC,500,28,True,0.176033934252386,0.13170731707317074,0.5537645811240721,0.13849416755037117,0.6854718981972429,0.42304663685894006,0.2301983995982722
