name	model	benchmark	condition	source_dir	start	n
gemma-3-4b-it_gsm8k_clean	google/gemma-3-4b-it	gsm8k	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-4b-it_gsm8k	-	-
gemma-3-4b-it_gsm8k_importance	google/gemma-3-4b-it	gsm8k	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_gsm8k_k4_importance	-	-
gemma-3-4b-it_gsm8k_random	google/gemma-3-4b-it	gsm8k	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_gsm8k_k4_random	-	-
gemma-3-4b-it_mmlu_clean__p0	google/gemma-3-4b-it	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-4b-it_mmlu	0	1600
gemma-3-4b-it_mmlu_clean__p1	google/gemma-3-4b-it	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-4b-it_mmlu	1600	1250
gemma-3-4b-it_mmlu_importance__p0	google/gemma-3-4b-it	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_mmlu_k4_importance	0	1600
gemma-3-4b-it_mmlu_importance__p1	google/gemma-3-4b-it	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_mmlu_k4_importance	1600	1250
gemma-3-4b-it_mmlu_random__p0	google/gemma-3-4b-it	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_mmlu_k4_random	0	1600
gemma-3-4b-it_mmlu_random__p1	google/gemma-3-4b-it	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_mmlu_k4_random	1600	1250
gemma-3-4b-it_mmlu_pro_clean	google/gemma-3-4b-it	mmlu_pro	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-4b-it_mmlu_pro	-	-
gemma-3-4b-it_mmlu_pro_importance	google/gemma-3-4b-it	mmlu_pro	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_mmlu_pro_k4_importance	-	-
gemma-3-4b-it_mmlu_pro_random	google/gemma-3-4b-it	mmlu_pro	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_mmlu_pro_k4_random	-	-
gemma-3-4b-it_arc_clean	google/gemma-3-4b-it	arc	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-4b-it_arc	-	-
gemma-3-4b-it_arc_importance	google/gemma-3-4b-it	arc	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_arc_k4_importance	-	-
gemma-3-4b-it_arc_random	google/gemma-3-4b-it	arc	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_arc_k4_random	-	-
gemma-3-4b-it_commonsense_qa_clean	google/gemma-3-4b-it	commonsense_qa	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-4b-it_commonsense_qa	-	-
gemma-3-4b-it_commonsense_qa_importance	google/gemma-3-4b-it	commonsense_qa	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_commonsense_qa_k4_importance	-	-
gemma-3-4b-it_commonsense_qa_random	google/gemma-3-4b-it	commonsense_qa	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_commonsense_qa_k4_random	-	-
gemma-3-4b-it_math_clean	google/gemma-3-4b-it	math	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-4b-it_math	-	-
gemma-3-4b-it_math_importance	google/gemma-3-4b-it	math	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_math_k4_importance	-	-
gemma-3-4b-it_math_random	google/gemma-3-4b-it	math	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-4b-it_math_k4_random	-	-
gemma-3-1b-it_gsm8k_clean	google/gemma-3-1b-it	gsm8k	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-1b-it_gsm8k	-	-
gemma-3-1b-it_gsm8k_importance	google/gemma-3-1b-it	gsm8k	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_gsm8k_k4_importance	-	-
gemma-3-1b-it_gsm8k_random	google/gemma-3-1b-it	gsm8k	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_gsm8k_k4_random	-	-
gemma-3-1b-it_mmlu_clean__p0	google/gemma-3-1b-it	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-1b-it_mmlu	0	1600
gemma-3-1b-it_mmlu_clean__p1	google/gemma-3-1b-it	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-1b-it_mmlu	1600	1250
gemma-3-1b-it_mmlu_importance__p0	google/gemma-3-1b-it	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_mmlu_k4_importance	0	1600
gemma-3-1b-it_mmlu_importance__p1	google/gemma-3-1b-it	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_mmlu_k4_importance	1600	1250
gemma-3-1b-it_mmlu_random__p0	google/gemma-3-1b-it	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_mmlu_k4_random	0	1600
gemma-3-1b-it_mmlu_random__p1	google/gemma-3-1b-it	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_mmlu_k4_random	1600	1250
gemma-3-1b-it_mmlu_pro_clean	google/gemma-3-1b-it	mmlu_pro	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-1b-it_mmlu_pro	-	-
gemma-3-1b-it_mmlu_pro_importance	google/gemma-3-1b-it	mmlu_pro	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_mmlu_pro_k4_importance	-	-
gemma-3-1b-it_mmlu_pro_random	google/gemma-3-1b-it	mmlu_pro	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_mmlu_pro_k4_random	-	-
gemma-3-1b-it_arc_clean	google/gemma-3-1b-it	arc	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-1b-it_arc	-	-
gemma-3-1b-it_arc_importance	google/gemma-3-1b-it	arc	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_arc_k4_importance	-	-
gemma-3-1b-it_arc_random	google/gemma-3-1b-it	arc	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_arc_k4_random	-	-
gemma-3-1b-it_commonsense_qa_clean	google/gemma-3-1b-it	commonsense_qa	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-1b-it_commonsense_qa	-	-
gemma-3-1b-it_commonsense_qa_importance	google/gemma-3-1b-it	commonsense_qa	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_commonsense_qa_k4_importance	-	-
gemma-3-1b-it_commonsense_qa_random	google/gemma-3-1b-it	commonsense_qa	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_commonsense_qa_k4_random	-	-
gemma-3-1b-it_math_clean	google/gemma-3-1b-it	math	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-1b-it_math	-	-
gemma-3-1b-it_math_importance	google/gemma-3-1b-it	math	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_math_k4_importance	-	-
gemma-3-1b-it_math_random	google/gemma-3-1b-it	math	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_math_k4_random	-	-
Llama-3.2-1B-Instruct_gsm8k_clean	meta-llama/Llama-3.2-1B-Instruct	gsm8k	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_gsm8k	-	-
Llama-3.2-1B-Instruct_gsm8k_importance	meta-llama/Llama-3.2-1B-Instruct	gsm8k	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_gsm8k_k4_importance	-	-
Llama-3.2-1B-Instruct_gsm8k_random	meta-llama/Llama-3.2-1B-Instruct	gsm8k	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_gsm8k_k4_random	-	-
Llama-3.2-1B-Instruct_mmlu_clean__p0	meta-llama/Llama-3.2-1B-Instruct	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_mmlu	0	1600
Llama-3.2-1B-Instruct_mmlu_clean__p1	meta-llama/Llama-3.2-1B-Instruct	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_mmlu	1600	1250
Llama-3.2-1B-Instruct_mmlu_importance__p0	meta-llama/Llama-3.2-1B-Instruct	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_mmlu_k4_importance	0	1600
Llama-3.2-1B-Instruct_mmlu_importance__p1	meta-llama/Llama-3.2-1B-Instruct	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_mmlu_k4_importance	1600	1250
Llama-3.2-1B-Instruct_mmlu_random__p0	meta-llama/Llama-3.2-1B-Instruct	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_mmlu_k4_random	0	1600
Llama-3.2-1B-Instruct_mmlu_random__p1	meta-llama/Llama-3.2-1B-Instruct	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_mmlu_k4_random	1600	1250
Llama-3.2-1B-Instruct_mmlu_pro_clean	meta-llama/Llama-3.2-1B-Instruct	mmlu_pro	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_mmlu_pro	-	-
Llama-3.2-1B-Instruct_mmlu_pro_importance	meta-llama/Llama-3.2-1B-Instruct	mmlu_pro	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_mmlu_pro_k4_importance	-	-
Llama-3.2-1B-Instruct_mmlu_pro_random	meta-llama/Llama-3.2-1B-Instruct	mmlu_pro	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_mmlu_pro_k4_random	-	-
Llama-3.2-1B-Instruct_arc_clean	meta-llama/Llama-3.2-1B-Instruct	arc	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_arc	-	-
Llama-3.2-1B-Instruct_arc_importance	meta-llama/Llama-3.2-1B-Instruct	arc	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_arc_k4_importance	-	-
Llama-3.2-1B-Instruct_arc_random	meta-llama/Llama-3.2-1B-Instruct	arc	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_arc_k4_random	-	-
Llama-3.2-1B-Instruct_commonsense_qa_clean	meta-llama/Llama-3.2-1B-Instruct	commonsense_qa	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_commonsense_qa	-	-
Llama-3.2-1B-Instruct_commonsense_qa_importance	meta-llama/Llama-3.2-1B-Instruct	commonsense_qa	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_commonsense_qa_k4_importance	-	-
Llama-3.2-1B-Instruct_commonsense_qa_random	meta-llama/Llama-3.2-1B-Instruct	commonsense_qa	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_commonsense_qa_k4_random	-	-
Llama-3.2-1B-Instruct_math_clean	meta-llama/Llama-3.2-1B-Instruct	math	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_math	-	-
Llama-3.2-1B-Instruct_math_importance	meta-llama/Llama-3.2-1B-Instruct	math	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_math_k4_importance	-	-
Llama-3.2-1B-Instruct_math_random	meta-llama/Llama-3.2-1B-Instruct	math	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_math_k4_random	-	-
Llama-3.2-3B-Instruct_gsm8k_clean	meta-llama/Llama-3.2-3B-Instruct	gsm8k	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_gsm8k	-	-
Llama-3.2-3B-Instruct_gsm8k_importance	meta-llama/Llama-3.2-3B-Instruct	gsm8k	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_gsm8k_k4_importance	-	-
Llama-3.2-3B-Instruct_gsm8k_random	meta-llama/Llama-3.2-3B-Instruct	gsm8k	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_gsm8k_k4_random	-	-
Llama-3.2-3B-Instruct_mmlu_clean__p0	meta-llama/Llama-3.2-3B-Instruct	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_mmlu	0	1600
Llama-3.2-3B-Instruct_mmlu_clean__p1	meta-llama/Llama-3.2-3B-Instruct	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_mmlu	1600	1250
Llama-3.2-3B-Instruct_mmlu_importance__p0	meta-llama/Llama-3.2-3B-Instruct	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_mmlu_k4_importance	0	1600
Llama-3.2-3B-Instruct_mmlu_importance__p1	meta-llama/Llama-3.2-3B-Instruct	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_mmlu_k4_importance	1600	1250
Llama-3.2-3B-Instruct_mmlu_random__p0	meta-llama/Llama-3.2-3B-Instruct	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_mmlu_k4_random	0	1600
